cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,20340,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,108540,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1328760,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,146160,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,501780,
workflow.buyers_order_confirmation,pass,on-time firing within tolerance and confidence floor,we're good to go,521700,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,108540,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,676320,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,735420,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,501780,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1034640,
universal.feature.wireless_android_auto,fail,cue did not fire,,,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,1100100,
honda.feature.idle-stop,fail,cue did not fire,,,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1328760,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,0,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,12300,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,184440,
universal.feature.heated_steering_wheel,pass,on-time firing within tolerance and confidence floor,heated steering,1281060,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1389480,
universal.feature.wireless_android_auto,fail,cue did not fire,,,
workflow.trial_close,pass,on-time firing within tolerance and confidence floor,feels right,1643760,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,24480,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED headlights,35400,
honda.feature.roof-rails,pass,on-time firing within tolerance and confidence floor,Roof Rails,44940,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,61620,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,74160,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,74160,
universal.feature.head_up_display,pass,on-time firing within tolerance and confidence floor,HUD,170640,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,170640,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,188280,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic sunroof,188280,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,18540,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LEDs,55800,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moon roof,87000,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,129180,
