cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence
workflow.hospitality_offer,partial,timestamp drift 7830ms exceeds 2000ms tolerance,grab you a coffee,170,0.8467888282875703
workflow.self_introduction,partial,timestamp drift 3398ms exceeds 2000ms tolerance,welcome to,102,0.8404415990946689
workflow.discovery_school_runs,partial,timestamp drift 11736ms exceeds 2000ms tolerance,school runs,264,0.8579807799242885
workflow.discovery_highway_commute,fail,cue did not fire,,,
workflow.discovery_better_mileage,partial,timestamp drift 21674ms exceeds 2000ms tolerance,better mileage,326,0.869982124590151
workflow.recommendation_logic,partial,timestamp drift 5643ms exceeds 2000ms tolerance,because you mentioned,357,0.8718448019517198
workflow.front_line_ready,partial,timestamp drift 4030ms exceeds 2000ms tolerance,grab the keys,470,0.8251185073785703
honda.feature.honda_sensing_360plus,partial,timestamp drift 5443ms exceeds 2000ms tolerance,Honda Sensing 360+,557,0.8517989224953784
universal.feature.wireless_apple_carplay,partial,timestamp drift 13383ms exceeds 2000ms tolerance,wireless Apple CarPlay,617,0.850077364039183
universal.feature.heated_front_seats,partial,timestamp drift 19344ms exceeds 2000ms tolerance,heated front seats,656,0.8615869827202239
universal.feature.ventilated_front_seats,partial,timestamp drift 23310ms exceeds 2000ms tolerance,ventilated front seats,690,0.8675954862064801
universal.feature.hands_free_power_tailgate,partial,timestamp drift 30246ms exceeds 2000ms tolerance,hands-free power tailgate,754,0.8741732022152163
universal.feature.panoramic_moonroof,partial,timestamp drift 37192ms exceeds 2000ms tolerance,panoramic moonroof,808,0.8768949947212387
honda.feature.bose_premium_audio_honda,partial,timestamp drift 43154ms exceeds 2000ms tolerance,Bose,846,0.867713244062514
honda.feature.real_time_awd,partial,timestamp drift 5105ms exceeds 2000ms tolerance,Real-Time AWD,895,0.8576773965237335
universal.feature.head_up_display,partial,timestamp drift 13044ms exceeds 2000ms tolerance,head-up display,956,0.8681798039219174
workflow.trade_in_dent,partial,timestamp drift 3896ms exceeds 2000ms tolerance,small dent,1104,0.8845194139444531
workflow.trade_in_tires,partial,timestamp drift 7859ms exceeds 2000ms tolerance,front tires,1141,0.8852520513008273
workflow.finance_introduction,partial,timestamp drift 2782ms exceeds 2000ms tolerance,finance manager,1218,0.8701308573721608
workflow.hospitality_offer,partial,timestamp drift 7887ms exceeds 2000ms tolerance,grab you a coffee,113,0.8410527327549727
workflow.self_introduction,partial,timestamp drift 3452ms exceeds 2000ms tolerance,welcome to,48,0.8122922779164886
workflow.discovery_school_runs,partial,timestamp drift 11790ms exceeds 2000ms tolerance,school runs,210,0.8609273674291117
workflow.discovery_highway_commute,fail,cue did not fire,,,
workflow.discovery_better_mileage,partial,timestamp drift 21727ms exceeds 2000ms tolerance,better mileage,273,0.8766978918305154
workflow.recommendation_logic,partial,timestamp drift 5696ms exceeds 2000ms tolerance,because you mentioned,304,0.874172603010415
workflow.front_line_ready,partial,timestamp drift 4078ms exceeds 2000ms tolerance,grab the keys,422,0.8563685086340166
