cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence,match_method,similarity_score
workflow.self_introduction,fail,cue did not fire,,,,,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Sensing,1448,0.6292617200371871,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1851,0.7174003092482654,exact,
workflow.exterior_focus,fail,cue did not fire,,,,,
workflow.interior_focus,partial,confidence 0.00 below floor 0.5,inside,9519,0.0002906625050910103,exact,
workflow.buyers_order_confirmation,pass,on-time firing within tolerance and confidence floor,we're good to go,10869,0.6199959493206324,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Sensing,1448,0.6292617200371871,exact,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,13287,0.7661615581563991,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,14227,0.826587383493559,exact,
workflow.interior_focus,partial,confidence 0.00 below floor 0.5,inside,9519,0.0002906625050910103,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,18349,0.6644022939609997,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,18359,0.6650621045282087,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,19241,0.7142480958813154,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,Idle-Stop,21123,0.7560711352634317,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1851,0.7174003092482654,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,142,0.9430772406005202,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,258,0.677927371697487,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,3538,0.785604198754034,exact,
universal.feature.heated_steering_wheel,fail,cue did not fire,,,,,
universal.feature.wireless_apple_carplay,fail,cue did not fire,,,,,
universal.feature.wireless_android_auto,fail,cue did not fire,,,,,
workflow.trial_close,pass,on-time firing within tolerance and confidence floor,feels right,29210,0.7893621963983384,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,192,0.8689126513543518,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED headlights,379,0.8161294515745625,exact,
honda.feature.roof-rails,pass,on-time firing within tolerance and confidence floor,Roof Rails,463,0.8226084270123232,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,653,0.7376370497472065,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,807,0.7629131527679104,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,815,0.768187315885626,exact,
universal.feature.head_up_display,pass,on-time firing within tolerance and confidence floor,head-up display,956,0.7288198879726492,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,1883,0.743961231573259,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,2148,0.7932046653905771,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic sunroof,2124,0.8209355526498894,exact,
workflow.exterior_focus,partial,confidence 0.00 below floor 0.5,exterior,313,0.0002457758861067233,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LEDs,1762,0.7685800214229134,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moon roof,2188,0.8527842750207292,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,2742,0.8668137870954911,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,hop in,4554,0.7760535289480616,exact,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,5232,0.8532589550625505,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,5432,0.8489408686115698,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,5440,0.85056582256115,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,5957,0.8379761907419381,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,1765,0.9059965547263127,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,1888,0.9151785325547743,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,2028,0.8866579788770927,exact,
