cue_id,script_id,audio_id,noise_level,expected_timestamp_ms,reference_text,outcome,reason,matched_phrase,match_method,detection_timestamp_ms,delta_ms,confidence,similarity_score,engine_text_window_before,engine_text_window_at,engine_text_window_after,caption_stt_agreement_score,miss_type,miss_notes
workflow.hospitality_offer,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,8000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 7818ms exceeds 2000ms tolerance,grab you a coffee,exact,182,-7818,0.8467888282875703,,"Before we head out, can I grab you a coffee or water?",So tell me a bit about how you'll be using it.,Is this mostly for the family or more for the commute?,0.1374,,
workflow.self_introduction,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,3500,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 3500ms exceeds 2000ms tolerance,welcome to,exact,0,-3500,0.8800646540746329,,"Hi Sarah, welcome to Riverside Honda.","My name is Marcus, I'll be working with you today.","Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it.",0.1714,,
workflow.discovery_school_runs,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,12000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 11681ms exceeds 2000ms tolerance,school runs,exact,319,-11681,0.8579807799242885,,So tell me a bit about how you'll be using it. Is this mostly for the family or more for the commute?,,Got it. So mostly school runs during the week,0.1085,,
workflow.discovery_highway_commute,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,17000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 16638ms exceeds 2000ms tolerance,on the highway most mornings,exact,362,-16638,0.868074568723001,,Got it. So mostly school runs during the week,and then you're on the highway most mornings for the commute.,And you mentioned you'd like better mileage,0.109,,
workflow.discovery_better_mileage,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,22000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 21589ms exceeds 2000ms tolerance,better mileage,exact,411,-21589,0.869982124590151,,and then you're on the highway most mornings for the commute. And you mentioned you'd like better mileage,than what you've been driving.,Because you mentioned school runs the commute and better fuel economy.,0.1179,,
workflow.recommendation_logic,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,6000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 5525ms exceeds 2000ms tolerance,because you mentioned,exact,475,-5525,0.8718448019517198,,"My name is Marcus, I'll be working with you today.","Before we head out, can I grab you a coffee or water?",So tell me a bit about how you'll be using it. Is this mostly for the family or more for the commute?,0.1706,,
workflow.front_line_ready,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,4500,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 3848ms exceeds 2000ms tolerance,grab the keys,exact,652,-3848,0.8251185073785703,,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.","Before we head out, can I grab you a coffee or water?",So tell me a bit about how you'll be using it.,0.1714,,
honda.feature.honda_sensing_360plus,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,6000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 5185ms exceeds 2000ms tolerance,Honda Sensing 360+,exact,815,-5185,0.8517989224953784,,"My name is Marcus, I'll be working with you today.","Before we head out, can I grab you a coffee or water?",So tell me a bit about how you'll be using it. Is this mostly for the family or more for the commute?,0.1706,,
universal.feature.wireless_apple_carplay,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,14000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 13055ms exceeds 2000ms tolerance,wireless Apple CarPlay,exact,945,-13055,0.850077364039183,,Is this mostly for the family or more for the commute?,Got it.,So mostly school runs during the week and then you're on the highway most mornings for the commute.,0.1038,,
universal.feature.heated_front_seats,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,20000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 19001ms exceeds 2000ms tolerance,heated front seats,exact,999,-19001,0.8615869827202239,,So mostly school runs during the week and then you're on the highway most mornings for the commute.,And you mentioned you'd like better mileage,than what you've been driving. Because you mentioned school runs the commute,0.1274,,
