cue_id,script_id,audio_id,noise_level,expected_timestamp_ms,reference_text,outcome,reason,matched_phrase,match_method,detection_timestamp_ms,delta_ms,confidence,similarity_score,engine_text_window_before,engine_text_window_at,engine_text_window_after,caption_stt_agreement_score,miss_type,miss_notes
workflow.hospitality_offer,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,8000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 8000ms exceeds 2000ms tolerance,grab you a coffee,exact,0,-8000,,,,,,,,
workflow.self_introduction,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,3500,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 3500ms exceeds 2000ms tolerance,my name is,exact,0,-3500,,,"Hi Sarah, welcome to Riverside Honda. My name is Marcus. I'll be working with you today. Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family or more for the commute? Got it. So mostly school runs during the week and then you're on the highway most mornings for the commute. And you mentioned you'd like better mileage than what you've been driving. Because you mentioned school runs the commute and better fuel economy. That's why I picked this one for you.",,,0.3194,,
workflow.discovery_school_runs,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,12000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 12000ms exceeds 2000ms tolerance,school runs,exact,0,-12000,,,,,,,,
workflow.discovery_highway_commute,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,17000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 17000ms exceeds 2000ms tolerance,on the highway most mornings,exact,0,-17000,,,,,,,,
workflow.discovery_better_mileage,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,22000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 22000ms exceeds 2000ms tolerance,better fuel economy,exact,0,-22000,,,,,,,,
workflow.recommendation_logic,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,6000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 6000ms exceeds 2000ms tolerance,that's why I picked this one,exact,0,-6000,,,,,,,,
workflow.front_line_ready,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,4500,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 25500ms exceeds 2000ms tolerance,staged out front,exact,30000,25500,,,"Hi Sarah, welcome to Riverside Honda. My name is Marcus. I'll be working with you today. Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family or more for the commute? Got it. So mostly school runs during the week and then you're on the highway most mornings for the commute. And you mentioned you'd like better mileage than what you've been driving. Because you mentioned school runs the commute and better fuel economy. That's why I picked this one for you.",,,0.3194,,
honda.feature.honda_sensing_360plus,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,6000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 24000ms exceeds 2000ms tolerance,Honda Sensing 360 plus,exact,30000,24000,,,,,,,,
universal.feature.wireless_apple_carplay,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,14000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 16000ms exceeds 2000ms tolerance,phone connects without a cable,exact,30000,16000,,,,,,,,
universal.feature.heated_front_seats,script_001_crv_hybrid_walkaround,synthesized/script_001_crv_hybrid_walkaround__us_baseline_neutral/clean,clean,20000,"Hi Sarah, welcome to Riverside Honda. My name is Marcus, I'll be working with you today.
Before we head out, can I grab you a coffee or water? So tell me a bit about how you'll be using it. Is this mostly for the family, or more
for the commute? ... Got it — so mostly school runs during the week, and then you're
on the highway most mornings for the commute. And you mentioned you'd like better
mileage than what you've been driving. Because you mentioned school runs, the commute, and better fuel economy, that's why
I picked this one for you — the 2026 CR-V Hybrid AWD Sport Touring. Let me just grab the keys — she's fueled up and staged out front, ready to go. Let me show you around. This is the Sport Touring trim, which has Honda Sensing 360+
as standard — that's the top of the line driver assistance suite. Inside, you'll
notice wireless Apple CarPlay — your phone connects without a cable. These are the
heated front seats, and on this trim you also get ventilated front seats — they
actually blow cool air. Around back, the hands-free power tailgate opens when you
kick your foot under the bumper. And up top, the panoramic moonroof stretches all
the way across. The audio in here is a Bose premium audio system, twelve speakers. Once we're moving, notice the Real-Time AWD — it shifts power to whichever wheels
need it. Look up at the windshield — that's the head-up display, your speed and
directions project right there. And you can feel how Honda Sensing handles the lane
when I let off slightly. Let me take a quick look at your trade. I'm seeing a small dent back here on the
rear quarter, and the front tires are getting worn — tread's getting low. Sarah, let me introduce you to David, our finance manager — he'll walk you through
the paperwork.",partial,timestamp drift 10000ms exceeds 2000ms tolerance,heated front seats,exact,30000,10000,,,,,,,,
